File_Name,File_Description,Standard,UTC_Offset,Contact,Date_Start,Date_End,Missing_Value_Codes,Data_Orientation,Location_ID,File_Path
flmd.csv,File-level metadata associated with dataset describing files contained within dataset,ESS-DIVE FLMD,-9999,Rosemary Carroll,-9999,-9999,N/A; -9999,horizontal,N/A,N/A
dd.csv,Data dictionary defining column headers and other terms contained within data files across the dataset,ESS-DIVE FLMD,-9999,Rosemary Carroll,-9999,-9999,N/A; -9999,horizontal,N/A,N/A
locations.csv,File describing location metadata of which data was collected for this dataset,ESS-DIVE CSV; ESS-DIVE Location,-9999,Rosemary Carroll,-9999,-9999,N/A; -9999,horizontal,N/A,N/A
sensors.csv,File describing sensor metadata that was used to collect data for this dataset,ESS-DIVE CSV,-9999,Rosemary Carroll,-9999,-9999,N/A; -9999,horizontal,ER-BRD1,N/A
InstallationMethods.csv,Description of methods associated with installation/deployment of sensors. Includes location information.,ESS-DIVE Hydrologic Monitoring ,-9999,Rosemary Carroll,-9999,-9999,N/A; -9999,horizontal,ER-BRD1,N/A
WY2019_Bradley_Corrected.csv,"Corrected values for streamflow measurements (water temperature, water level, and streamflow) at ER-BRD1 (Bradley Creek) for Water Year 2019. Resolution of data is 10 minutes. Specific metadata on instrumentation and site installation contained within the data and metadata files (InstallationMethods.csv, locations.csv, and sensors.csv)",ESS-DIVE Hydrologic Monitoring ,-7:00:00,Rosemary Carroll,2018-10-23,2019-09-30,N/A; -9999,horizontal,ER-BRD1,Stream_Discharge_Data_WY19-WY22/ER-BRD1/WY2019_Bradley
WY2019_Bradley_Instantaneous.csv,"Instantaneous streamflow measurements (water temperature, water level, and streamflow) at ER-BRD1 (Bradley Creek) for Water Year 2019. Specific metadata on instrumentation and site installation contained within the data and metadata files (InstallationMethods.csv, locations.csv, and sensors.csv)",ESS-DIVE Hydrologic Monitoring ,-7:00:00,Rosemary Carroll,2019-06-11,2019-07-26,N/A; -9999,horizontal,ER-BRD1,Stream_Discharge_Data_WY19-WY22/ER-BRD1/WY2019_Bradley
WY2019_Bradley_Mean_Daily.csv,"Mean daily streamflow measurements (water temperature, water level, and streamflow) at ER-BRD1 (Bradley Creek) for Water Year 2019. Resolution of data is 1 day. Specific metadata on instrumentation and site installation contained within the data and metadata files (InstallationMethods.csv, locations.csv, and sensors.csv)",ESS-DIVE Hydrologic Monitoring ,-7:00:00,Rosemary Carroll,2018-10-01,2019-09-30,N/A; -9999,horizontal,ER-BRD1,Stream_Discharge_Data_WY19-WY22/ER-BRD1/WY2019_Bradley
WY2019_Bradley_RatingCurve.pdf,Rating curve information and notes associated with site and water year.,N/A,-9999,Rosemary Carroll,-9999,-9999,N/A,N/A,ER-BRD1,Stream_Discharge_Data_WY19-WY22/ER-BRD1/WY2019_Bradley
WY2019_Bradley_Raw_Data.csv,"Raw data streamflow measurements (water temperature, water level, and streamflow) at ER-BRD1 (Bradley Creek) for Water Year 2019. Specific metadata on instrumentation and site installation contained within the data and metadata files (InstallationMethods.csv, locations.csv, and sensors.csv)",ESS-DIVE Hydrologic Monitoring ,-7:00:00,Rosemary Carroll,2018-10-12,2019-11-02,N/A; -9999,horizontal,ER-BRD1,Stream_Discharge_Data_WY19-WY22/ER-BRD1/WY2019_Bradley
