Plot,Treatment,Bot.Depth,mid.depth,DateTime,CO2.ppm.,Temp (degC),VWC,CO2 Prod.gC.m3.hr
1,C,15,7,4/21/14 16:00,6052.353128,10.68,0.259068671,0.055761482
1,C,30,22.5,4/21/14 16:00,8419.098908,9.47,0.267330165,0.021941514
1,C,50,40,4/21/14 16:00,10117.58706,8.93,0.303818982,0.008911637
1,C,70,60,4/21/14 16:00,8369.3346,10.28,0.322287643,0.001916326
1,C,90,80,4/21/14 16:00,9075.1684,4.83471516,0.27131864,0.003342461
1,H,15,7,4/21/14 16:00,7142.249504,14.61,0.22316725,0.046410601
1,H,30,22.5,4/21/14 16:00,12754.81807,13.765,0.230260729,0.015148078
1,H,50,40,4/21/14 16:00,9445.794213,13.13394217,0.270982615,0.000770096
1,H,70,60,4/21/14 16:00,8997.4334,12.47,0.302327433,0.002039742
1,H,90,80,4/21/14 16:00,7008.75,11.60751175,0.275087261,0.008200222
2,C,15,7,4/21/14 16:30,5582.981696,11.51,0.276884239,0.074615926
2,C,30,22.5,4/21/14 16:30,6179.640296,10.23,0.290007177,0.029608278
2,C,50,40,4/21/14 16:30,5622.758936,9.63,0.339974587,0.015744501
2,C,70,60,4/21/14 16:30,13285.84941,9.4,0.364996659,0.003533745
2,C,90,80,4/21/14 16:30,9223.9754,8.521969449,0.297378021,0.002871296
2,H,15,7,4/21/14 16:30,6537.635456,14.455,0.24224607,0.080830452
2,H,30,22.5,4/21/14 16:30,7277.49212,14.07,0.263726945,0.030169809
2,H,50,40,4/21/14 16:30,7862.217548,13.64821231,0.28554421,0.012542176
2,H,70,60,4/21/14 16:30,10721.3736,13.38,0.277271014,0.003109106
2,H,90,80,4/21/14 16:30,9690.8296,12.5670391,0.21458912,0.000211174
3,C,15,7,4/21/14 17:00,6227.372984,11.69,0.266710083,NA
3,C,30,22.5,4/21/14 17:00,10984.73089,10.655,0.269411209,0.029598667
3,C,50,40,4/21/14 17:00,12058.71637,10.12,0.315218317,0.012780885
3,C,70,60,4/21/14 17:00,13457.2014,9.67,0.34260517,0.002250969
3,C,90,80,4/21/14 17:00,10747.1372,9.284358333,0.278856965,0.004668115
3,H,15,7,4/21/14 17:00,5439.783632,15.635,0.261817562,0.068412009
3,H,30,22.5,4/21/14 17:00,10284.65146,14.775,0.295684104,0.033931148
3,H,50,40,4/21/14 17:00,14242.48684,14.36270589,0.322637264,0.009719808
3,H,70,60,4/21/14 17:00,12875.7436,13.53,0.318907623,0.002292581
3,H,90,80,4/21/14 17:00,10199.8828,12.42767891,0.273716728,0.006256964
1,C,15,7,5/29/14 17:00,7268.338927,13.53,0.260914108,0.116960043
1,C,30,22.5,5/29/14 17:00,9753.585529,11.835,0.264238702,0.039710284
1,C,50,40,5/29/14 17:00,10130.89942,11.24,0.291698714,0.022060669
1,C,70,60,5/29/14 17:00,12729.85621,12.46,0.304589548,0.00645722
1,C,90,80,5/29/14 17:00,14934.75931,6.675199712,0.258308295,0.003900973
1,H,15,7,5/29/14 17:00,6781.358004,14.325,0.243715372,0.136272787
1,H,30,22.5,5/29/14 17:00,7581.005641,13.735,0.243104908,0.040872064
1,H,50,40,5/29/14 17:00,7832.418792,13.651319,0.258162613,0.024423642
1,H,70,60,5/29/14 17:00,12130.15576,13.52,0.272907108,0.009500992
1,H,90,80,5/29/14 17:00,15261.65992,12.54434564,0.267208667,0.002275575
2,C,15,7,5/29/14 17:30,4239.541254,14.11,0.279802347,0.162932069
2,C,30,22.5,5/29/14 17:30,6269.861903,12.27,0.291133775,0.057635297
2,C,50,40,5/29/14 17:30,3655.489071,11.66,0.339974587,0.039535475
2,C,70,60,5/29/14 17:30,14585.26043,11.34,0.3634634,0.010633697
2,C,90,80,5/29/14 17:30,18387.24522,10.15982334,0.291887711,0.020206541
2,H,15,7,5/29/14 17:00,4265.185297,16.945,0.252511213,0.167279398
2,H,30,22.5,5/29/14 17:00,8922.527064,16.2025,0.271508452,0.070050788
2,H,50,40,5/29/14 17:00,12845.35226,15.87552047,0.288325448,0.031874887
2,H,70,60,5/29/14 17:00,17476.07434,15.37,0.274053296,0.005757308
2,H,90,80,5/29/14 17:00,18655.80209,14.12916296,0.205389742,0.017063877
