"Date","SFA_Location","NDVI"
2017-05-26,"ER-LMB1L",0.564215624948168
2017-05-26,"ER-LMB1R",0.465582833409451
2017-05-26,"ER-LMB2L",0.637423446544629
2017-05-26,"ER-LMB2R",0.472084008979451
2017-05-28,"ER-LMB1L",0.551800460008785
2017-05-28,"ER-LMB1R",0.460861954804518
2017-05-28,"ER-LMB2L",0.647680726190238
2017-05-28,"ER-LMB2R",0.452396352874316
2017-05-29,"ER-LMB1L",0.560442580594124
2017-05-29,"ER-LMB1R",0.494712967908796
2017-05-29,"ER-LMB2L",0.6686198711604
2017-05-29,"ER-LMB2R",0.463391850914735
2017-05-30,"ER-LMB1L",0.567665516817689
2017-05-30,"ER-LMB1R",0.491064034644524
2017-05-30,"ER-LMB2L",0.696065802160706
2017-05-30,"ER-LMB2R",0.489289398115026
2017-05-31,"ER-LMB1L",0.586826739010405
2017-05-31,"ER-LMB1R",0.502152501845797
2017-05-31,"ER-LMB2L",0.718171926928988
2017-05-31,"ER-LMB2R",0.517380841580754
2017-06-01,"ER-LMB1L",0.5932034363768
2017-06-01,"ER-LMB1R",0.514865592895411
2017-06-01,"ER-LMB2L",0.719933996078809
2017-06-01,"ER-LMB2R",0.505017753100909
2017-06-03,"ER-LMB1L",0.587522832340874
2017-06-03,"ER-LMB1R",0.523271665474169
2017-06-03,"ER-LMB2L",0.76170103104604
2017-06-03,"ER-LMB2R",0.529317260211946
2017-06-04,"ER-LMB1L",0.592923240339738
2017-06-04,"ER-LMB1R",0.527452484097167
2017-06-04,"ER-LMB2L",0.765158335621824
2017-06-04,"ER-LMB2R",0.535256639590874
2017-06-04,"WG-UMB1L",0.363616168488153
2017-06-04,"WG-UMB1R",0.557619287983593
2017-06-04,"WG-UMB2L",0.577266293064698
2017-06-04,"WG-UMB2R",0.68102382034383
2017-06-05,"ER-LMB1L",0.602460152520046
2017-06-05,"ER-LMB1R",0.557562133452756
2017-06-05,"ER-LMB2L",0.790466428062808
2017-06-05,"ER-LMB2R",0.570622610705461
2017-06-05,"WG-UMB1L",0.416899435341034
2017-06-05,"WG-UMB1R",0.587914350369303
2017-06-05,"WG-UMB2L",0.609500938330868
2017-06-05,"WG-UMB2R",0.708653312313635
2017-06-07,"ER-LMB1L",0.636504372484727
2017-06-07,"ER-LMB1R",0.587484629087884
2017-06-07,"ER-LMB2L",0.806489650664872
2017-06-07,"ER-LMB2R",0.622977212104167
2017-06-07,"WG-UMB1L",0.431218042009188
2017-06-07,"WG-UMB1R",0.61225562165832
2017-06-07,"WG-UMB2L",0.633427077955781
2017-06-07,"WG-UMB2R",0.73680981544653
2017-06-08,"ER-LMB1L",0.615821153500595
2017-06-08,"ER-LMB1R",0.574727641390763
2017-06-08,"ER-LMB2L",0.822716362253188
2017-06-08,"ER-LMB2R",0.590909976817834
2017-06-08,"WG-UMB1L",0.434003212134556
2017-06-08,"WG-UMB1R",0.616173115445147
2017-06-08,"WG-UMB2L",0.649807355167576
2017-06-08,"WG-UMB2R",0.736589694890728
2017-06-09,"ER-LMB1L",0.621037398997515
2017-06-09,"ER-LMB1R",0.581538167577146
2017-06-09,"ER-LMB2L",0.831894233021599
2017-06-09,"ER-LMB2R",0.600613568456906
2017-06-09,"WG-LSB2L",0.57561770484998
2017-06-09,"WG-LSB2R",0.475820661225525
2017-06-09,"WG-UMB1L",0.491299891160241
2017-06-09,"WG-UMB1R",0.661973363011717
2017-06-09,"WG-UMB2L",0.67135739840406
2017-06-09,"WG-UMB2R",0.775779133630445
2017-06-10,"ER-LMB1L",0.61249418960533
2017-06-10,"ER-LMB1R",0.569213294119351
2017-06-10,"ER-LMB2L",0.83967660396417
2017-06-10,"ER-LMB2R",0.586752574556604
2017-06-10,"WG-LSB1L",0.49975268732003
2017-06-10,"WG-LSB1R",0.461911218048813
2017-06-10,"WG-LSB2L",0.586069623036222
2017-06-10,"WG-LSB2R",0.485829240751818
